iter	Passed	Remaining
0	6	6190
1	10	5419
2	13	4605
3	16	4067
4	19	3785
5	21	3563
6	23	3403
7	26	3313
8	29	3227
9	31	3154
10	34	3111
11	37	3048
12	39	2983
13	42	2960
14	44	2916
15	46	2866
16	49	2850
17	51	2812
18	54	2792
19	56	2764
20	59	2750
21	61	2734
22	63	2707
23	66	2685
24	68	2682
25	71	2679
26	73	2664
27	77	2683
28	80	2681
29	82	2668
30	85	2662
31	87	2649
32	89	2631
33	91	2613
34	93	2586
35	96	2570
36	98	2555
37	100	2537
38	102	2526
39	104	2512
40	106	2500
41	108	2485
42	111	2479
43	113	2464
44	115	2456
45	117	2439
46	119	2431
47	122	2421
48	124	2410
49	126	2399
50	128	2391
51	130	2382
52	132	2372
53	134	2362
54	137	2354
55	139	2346
56	141	2341
57	143	2333
58	145	2326
59	148	2320
60	150	2311
61	152	2305
62	154	2299
63	156	2291
64	159	2288
65	161	2278
66	163	2272
67	165	2264
68	167	2258
69	169	2251
70	171	2248
71	174	2244
72	176	2240
73	178	2234
74	180	2227
75	182	2224
76	184	2209
77	186	2207
78	188	2203
79	190	2196
80	193	2189
81	195	2185
82	197	2180
83	199	2173
84	201	2168
85	203	2161
86	205	2157
87	207	2152
88	209	2147
89	211	2142
90	214	2139
91	216	2137
92	218	2135
93	221	2131
94	223	2127
95	225	2123
96	227	2119
97	230	2117
98	232	2113
99	234	2108
100	236	2104
101	238	2100
102	240	2096
103	242	2090
104	244	2086
105	246	2082
106	249	2078
107	250	2072
108	252	2066
109	254	2062
110	257	2059
111	259	2053
112	261	2049
113	263	2045
114	265	2042
115	267	2038
116	269	2035
117	271	2032
118	274	2028
119	276	2025
120	278	2020
121	280	2015
122	282	2012
123	283	2005
124	286	2002
125	288	1998
126	290	1994
127	292	1990
128	294	1986
129	296	1982
130	298	1977
131	300	1974
132	302	1969
133	304	1966
134	306	1963
135	308	1959
136	310	1954
137	312	1950
138	314	1947
139	316	1942
140	318	1939
141	320	1936
142	322	1933
143	324	1930
144	326	1926
145	328	1923
146	330	1920
147	333	1917
148	335	1913
149	337	1910
150	339	1906
151	341	1903
152	343	1900
153	345	1897
154	347	1894
155	349	1890
156	351	1888
157	353	1886
158	355	1882
159	358	1879
160	360	1877
161	362	1875
162	364	1872
163	366	1870
164	369	1868
165	371	1865
166	373	1864
167	375	1861
168	378	1859
169	380	1856
170	382	1855
171	384	1852
172	387	1850
173	389	1847
174	391	1845
175	393	1842
176	395	1839
177	397	1837
178	400	1835
179	402	1832
180	404	1828
181	406	1827
182	408	1823
183	410	1821
184	412	1817
185	414	1815
186	417	1813
187	419	1810
188	421	1808
189	423	1804
190	425	1802
191	427	1801
192	430	1799
193	432	1797
194	434	1793
195	436	1790
196	438	1788
197	440	1786
198	443	1783
199	445	1782
200	447	1779
201	449	1777
202	452	1775
203	454	1772
204	456	1770
205	458	1765
206	460	1763
207	462	1761
208	464	1758
209	466	1755
210	468	1752
211	470	1750
212	473	1748
213	475	1746
214	479	1749
215	482	1749
216	485	1751
217	488	1753
218	491	1753
219	494	1753
220	498	1757
221	501	1756
222	507	1769
223	510	1769
224	513	1769
225	516	1769
226	520	1771
227	523	1772
228	526	1772
229	529	1772
230	532	1772
231	535	1773
232	538	1771
233	540	1769
234	543	1769
235	546	1769
236	549	1769
237	552	1770
238	554	1767
239	556	1763
240	559	1761
241	561	1758
242	563	1756
243	566	1753
244	568	1751
245	570	1749
246	572	1746
247	575	1743
248	577	1741
249	579	1739
250	581	1736
251	585	1736
252	587	1735
253	590	1735
254	593	1733
255	595	1730
256	597	1728
257	600	1727
258	612	1751
259	614	1749
260	617	1747
261	619	1745
262	621	1742
263	624	1739
264	626	1737
265	628	1734
266	630	1731
267	633	1729
268	635	1726
269	637	1723
270	639	1720
271	641	1718
272	644	1715
273	646	1713
274	648	1710
275	651	1708
276	653	1705
277	655	1703
278	658	1701
279	660	1698
280	662	1695
281	664	1693
282	667	1691
283	669	1688
284	672	1685
285	674	1683
286	676	1681
287	679	1679
288	681	1676
289	683	1674
290	686	1672
291	688	1669
292	690	1667
293	692	1663
294	694	1659
295	696	1655
296	698	1652
297	699	1648
298	701	1644
299	702	1639
300	704	1634
301	705	1630
302	706	1625
303	707	1620
304	709	1616
305	710	1611
306	713	1610
307	715	1607
308	717	1603
309	718	1599
310	719	1595
311	721	1590
312	722	1586
313	723	1581
314	725	1577
